imdb_title_id,show_id,release_year,type,minutely,description,duration,minute_duration,rating,cast,seasonly,month_added,title,original_title,total_votes,weighted_average_vote,director,listed_in,season_duration,country,year_added,date_added
tt4486148,s5566,2020,Movie,1,"A young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her.",121 min,121,TV-14,"Rajkummar Rao, Tarun Wadhwa, Rakul Preet Singh, Kiran Juneja, Hema Malini, Kamlesh Gill, Shakti Kapoor, Kanwaljeet Singh",0,January,Shimla Mirchi,Shimla Mirchi,1011,4.6,Ramesh Sippy,"Comedies, International Movies, Romantic Movies",0,India,2020,2020-01-27 00:00:00
tt1386691,s5567,2017,Movie,1,"Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother.",87 min,87,TV-MA,"Benjamin Walker, Rainn Wilson, Rob Corddry, Adam Pally, Ron Livingston, John Michael Higgins, Wyatt Russell, Stephanie Sigman, Mark Rendall, Isabel Dove, Angela Vint",0,June,Shimmer Lake,Shimmer Lake,10968,6.2,Oren Uziel,"Dramas, Independent Movies, Thrillers",0,"Canada, United States",2017,2017-06-09 00:00:00
tt8477336,s5569,2020,Movie,1,"A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.",103 min,103,TV-MA,"O.C. Ukeje, Indira Nascimento, Paulo André, Ike Barry, Chukwudi Iwuji",0,July,Shine Your Eyes,Shine Your Eyes,116,5.9,Matias Mariani,"Dramas, Independent Movies, International Movies",0,"Brazil, France",2020,2020-07-29 00:00:00
tt0248428,s5571,1990,Movie,1,"A young man enrolls at a college and becomes a rival to the student-union president, who’s using force and intimidation to advance his criminal agenda.",168 min,168,TV-MA,"Nagarjuna Akkineni, Amala, Rajendranath Zutshi, Raghuvaran, Paresh Rawal, Brij Gopal, J.D. Chakravarthi, Tanikella Bharani",0,December,Shiva,Shiva,3133,8.1,Ram Gopal Varma,"Action & Adventure, Dramas, International Movies",0,India,2019,2019-12-31 00:00:00
tt8347882,s5572,2018,Movie,1,An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,131 min,131,TV-PG,"Tanuja, Jishu Sengupta, Parambrata Chatterjee, Arunima Ghosh, Shrijato Banerjee, Soumitra Chatterjee, Gargi Roychowdhury",0,February,Shonar Pahar,Shonar Pahar,514,8.1,Parambrata Chatterjee,"Dramas, Independent Movies, International Movies",0,India,2019,2019-02-22 00:00:00
tt0811066,s5574,2007,Movie,1,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.",116 min,116,UR,"Sanjay Dutt, Sunil Shetty, Amitabh Bachchan, Arbaaz Khan, Abhishek Bachchan, Diya Mirza, Aarti Chhabria, Tusshar Kapoor, Vivek Oberoi, Neha Dhupia, Rohit Roy, Aditya Lakhia, Ravi Gossain, Shabbir Ahluwalia, Akhilendra Mishra, Amrita Singh",0,May,Shootout at Lokhandwala,Shootout at Lokhandwala,9212,7.1,Apoorva Lakhia,"Action & Adventure, Dramas, International Movies",0,India,2019,2019-05-15 00:00:00
tt5752374,s5580,2016,Movie,1,A Hindu boy's feelings for a Muslim girl expose the tensions between their two communities and open the door to chaos and violence.,122 min,122,TV-14,"Ashutosh Rana, Jimmy Shergill, Suha Gezen, Sanjay Suri, Narendra Jha, Hiten Tejwani, Eijaz Khan, Aniruddha Dave",0,October,Shorgul,Shorgul,240,5.7,"Jitendra Tiwari, Pranav Singh","Dramas, International Movies",0,India,2018,2018-10-30 00:00:00
tt2370248,s5581,2013,Movie,1,"A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding.",97 min,97,R,"Brie Larson, John Gallagher Jr., Kaitlyn Dever, Rami Malek, Lakeith Stanfield, Kevin Hernandez, Melora Walters, Stephanie Beatriz, Lydia Du Veaux, Alex Calloway, Frantz Turner",0,July,Short Term 12,Short Term 12,79731,8.0,Destin Daniel Cretton,"Dramas, Independent Movies",0,United States,2019,2019-07-18 00:00:00
tt3257168,s5583,2009,Movie,1,Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.,89 min,89,PG,"Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon, Devon Gearhart, Jolie Vanier, Rebel Rodriguez, Leo Howard, Leslie Mann, Jon Cryer, William H. Macy, James Spader",0,July,Shorts,Shorts,435,6.5,Robert Rodriguez,"Children & Family Movies, Comedies",0,"United States, United Arab Emirates",2019,2019-07-01 00:00:00
tt3070936,s5588,2013,Movie,1,"The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie.",130 min,130,TV-G,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",0,December,Shrek the Musical,Shrek the Musical,2610,7.0,Jason Moore,"Children & Family Movies, Comedies, Music & Musicals",0,United States,2013,2013-12-29 00:00:00
